repo_name,repoType,sizeUsers,status,lifeSpan,authors,commits,pulls,issues,comments,reviews,language
jb3/webhook-discord,User,3,Alive,57,55,209,33,39,266,39,NPM
jlengstorf/bemmit,User,1,Dead,5,1,18,0,0,0,0,NPM
jochen-schweizer/express-prom-bundle,Organization,3,Alive,65,136,214,51,45,201,2,NPM
jochen-schweizer/microservice-chain-logger,Organization,2,Dead,19,2,33,1,0,4,0,NPM
juliancwirko/react-npm-boilerplate,User,3,Dead,17,19,11,4,6,27,0,NPM
juliandavidmr/argvd,User,2,Dead,10,2,2,0,1,0,0,NPM
junior/json-shaping,User,2,Dead,47,2,28,8,0,0,0,NPM
jyotman/node-stats-lite,User,1,Dead,15,1,19,0,0,0,0,NPM
knalli/electron-remote-dashboard,User,2,Dead,49,4,12,13,5,7,0,NPM
lastguest/blurmage,User,1,Dead,0,0,7,0,0,0,0,NPM
lelandmiller/micro-signals,User,3,Alive,60,10,145,40,1,84,22,NPM
lesander/console.history,User,2,Dead,51,2,70,4,1,1,0,NPM
llaumgui/lesshint-lint-xml-reporter,User,2,Alive,61,4,27,7,1,4,0,NPM
lycan-city/werewolf-brain,Organization,3,Dead,26,6,197,61,34,101,105,NPM
macctown/node-shop.com,User,1,Dead,0,0,12,0,0,0,0,NPM
magnetikonline/aws-lambda-proxy-response,User,1,Alive,56,1,11,0,0,0,0,NPM
magnetikonline/promessa,User,1,Alive,62,1,19,0,0,0,0,NPM
makerbot/locate,Organization,1,Dead,29,1,4,0,0,0,0,NPM
mediamonks/seng-boilerplate,Organization,3,Alive,67,13,172,57,18,86,14,NPM
mediamonks/seng-disposable,Organization,3,Dead,25,6,33,3,1,13,2,NPM
mediamonks/seng-keycodes,Organization,2,Dead,23,3,15,1,0,0,0,NPM
mediamonks/seng-log,Organization,1,Dead,3,1,15,0,0,0,0,NPM
mediamonks/seng-signals,Organization,2,Dead,1,2,52,1,0,0,0,NPM
mediapeers/mpx-frontend-module-ch-error,Organization,2,Dead,8,2,3,1,0,0,0,NPM
mediapeers/mpx-frontend-module-thumbor,Organization,3,Dead,44,6,17,7,0,8,0,NPM
mediapeers/mpx-frontend-module-utils,Organization,2,Dead,13,4,29,5,0,6,5,NPM
meltenc/week-identifier,User,2,Dead,19,2,22,1,0,0,0,NPM
meyfa/angular-filemodel,User,1,Dead,11,1,15,0,0,0,0,NPM
meyfa/angular-filesize-filter,User,2,Dead,22,3,14,1,1,4,0,NPM
meyfa/recaptcha-promise,User,2,Alive,62,2,28,9,0,1,0,NPM
meyfa/teval,User,2,Alive,61,2,48,6,0,0,0,NPM
michalstocki/swagger-json-filter,User,2,Dead,46,4,33,4,1,3,2,NPM
millwrightjs/millwright,Organization,1,Dead,7,1,220,0,0,0,0,NPM
mmahrous/thumbler,User,2,Dead,36,5,13,2,1,10,2,NPM
moimikey/npm-boilerplate,User,2,Alive,67,4,422,295,1,133,0,NPM
moimikey/typeov,User,2,Alive,64,5,187,192,0,89,0,NPM
moschan/react-native-progress-bar-classic,User,3,Dead,56,6,26,2,6,2,0,NPM
msteckyefantis/loglevels,User,1,Dead,29,1,140,0,0,0,0,NPM
mysticatea/bre,User,1,Dead,22,1,43,0,1,0,0,NPM
mysticatea/eaw,User,1,Dead,0,1,32,0,0,0,0,NPM
mysticatea/eslint-plugin-eslint-comments,User,3,Alive,58,73,98,20,43,125,11,NPM
mysticatea/if-node-version,User,2,Dead,48,2,14,3,0,1,0,NPM
neo/lim-it,User,1,Dead,0,1,4,0,0,0,0,NPM
ngx-translate/http-loader,Organization,3,Alive,57,527,37,40,59,281,20,NPM
nickpalenchar/goodtimer,User,2,Alive,62,3,196,43,21,3,0,NPM
niedzielski/eslint-config-rndmem,User,1,Dead,7,1,99,0,0,0,0,NPM
niespodd/legal-eagle-cli,User,2,Dead,28,2,22,2,0,0,0,NPM
nobrainr/typescript-webpack-starter,Organization,3,Alive,62,31,228,73,19,47,3,NPM
nupamore/anisub,User,2,Dead,12,2,19,0,1,10,0,NPM
nupamore/smi2vtt,User,2,Alive,52,3,10,3,0,2,0,NPM
opentable/eslint-config-spur,Organization,1,Dead,0,1,16,3,0,0,0,NPM
ory/hydra-js,Organization,2,Dead,11,5,23,5,1,21,4,NPM
ourai/handie,User,2,Alive,57,3,284,9,0,1,0,NPM
pact-foundation/pact-provider-verifier-npm,Organization,2,Dead,15,3,44,1,2,5,0,NPM
padarom/wspackager,User,2,Dead,55,4,56,2,5,11,2,NPM
pbelyaev/laravel-blade-compiler,User,2,Dead,11,4,59,11,17,25,0,NPM
quakkels/roast.it,User,2,Dead,22,3,24,10,1,9,6,NPM
queicherius/abc-environment,User,2,Dead,24,4,144,66,9,118,0,NPM
queicherius/fast-get,User,2,Dead,41,4,25,4,1,15,0,NPM
queicherius/generic-checkmark-reporter,User,2,Dead,28,2,18,1,0,0,0,NPM
queicherius/gw2api-client,User,3,Alive,68,16,314,37,37,136,19,NPM
queicherius/i18next-extract-gettext,User,2,Dead,27,3,15,1,1,3,0,NPM
queicherius/i18next-po-loader,User,2,Zombie,57,4,9,1,2,4,0,NPM
queicherius/karma-checkmark-reporter,User,1,Dead,28,1,11,0,0,0,0,NPM
queicherius/karma-shell-reporter,User,1,Dead,28,1,5,0,0,0,0,NPM
queicherius/lets-fetch,User,2,Dead,58,4,107,13,11,56,0,NPM
